code,city,country,lat,lon
CN, 119.163.120.202,CHINA, 36.668301, 116.9972
CN, 124.172.145.177,CHINA, 23.11, 113.25
CN, 222.186.30.160,CHINA, 32.06, 118.778
KR, 125.31.169.215,Repulic of Korea, 37.0522, 127.314697
CA, 206.188.102.2, CANADA, 50.08, -91.9086
BR, 186.227.88.146, Brazil, -23.5477, -46.634799
CN, 222.186.42.161, CINA, 32.06,118.778
CN, 222.186.42.174, CINA, 32.06,118.778
US, 169.229.3.91, Berkeley, 37.866798, -122.253601
CN, 222.186.56.5, Nanjing, 32.06, 118.778
CN, 202.99.207.123, Taiyuan, 37.726, 112.4708
CN, 59/51.24.186, Changsha, 28.179, 113.113
CN, 1.182.138.154, Baotou, 40.652, 109.822
